index,start,end,sourcePrefab,identity,variant,sourceMode,nominalBudgetOrAliveTarget,soloSuccessful,pairSuccessful,note
0,1.0,136.0,Enemy_Brotchi.prefab,Brotchi,0,1,250,250,250,
1,60.0,105.0,Enemy_Imp.prefab,Imp,0,1,15,15,15,
2,105.0,115.0,Elite_Skeleton.prefab,Elite_Skeleton,0,1,1,1,1,
3,135.0,180.0,Enemy_Skeleton.prefab,Skeleton,0,1,150,150,150,
4,180.0,200.08333333333334,Enemy_Slime Rusher.prefab,Slime,2,2,100,306,483,
5,209.05,309.4,Enemy_Brotchi_LVL2.prefab,Brotchi_Dash,0,2,30,98,120,
6,240.0,390.0,Enemy_Skeleton.prefab,Skeleton,2,1,200,200,200,
7,285.0,285.01666666666665,Enemy_Slime.prefab,Slime,0,1,60,60,60,
8,285.0167,333.0,Enemy_Slime.prefab,Slime,0,1,90,90,90,
9,330.0,360.3099983215332,Elite_Skeleton.prefab,Elite_Skeleton,1,1,1,1,1,
10,360.3099983215332,420.0,Enemy_Brotchi.prefab,Brotchi,1,1,150,150,150,
11,389.6,419.6,Enemy_LostSoul.prefab,LostSoul,0,2,46,78,92,
12,419.6,449.9166666666667,Enemy_Imp.prefab,Imp,1,2,10,18,19,
13,420.0,449.9166666666667,Enemy_Brotchi_LVL2.prefab,Brotchi_Dash,1,1,50,50,50,
14,449.9166666666667,479.9166666666667,Enemy_Ghoul.prefab,Ghoul,0,2,30,197,174,
15,479.9166666666667,509.9166666666667,Enemy_Ghoul.prefab,Ghoul,0,1,50,50,50,
16,480.5,495.5,Enemy_Imp.prefab,Imp,1,3,10,10,10,
17,495.5,659.5666666666667,Enemy_Imp.prefab,Imp,1,2,15,106,147,
18,509.65,539.65,Enemy_Slime Rusher.prefab,Slime,1,2,80,330,234,
19,540.2833333333333,555.2833333333333,Enemy_LostSoul.prefab,LostSoul,1,3,10,10,10,
20,555.2833333333333,720.0,Enemy_LostSoul.prefab,LostSoul,1,2,46,543,633,
21,569.9666666666667,599.9666666666667,Enemy_Brotchi_LVL2.prefab,Brotchi_Dash,1,1,60,60,60,
22,599.9666666666667,630.2766649881999,Elite_Skeleton.prefab,Elite_Skeleton,1,1,2,2,2,
23,620.8,720.0,Enemy_Ghoul.prefab,Ghoul,0,2,20,440,441,
24,630.2766649881999,720.0,Enemy_Brotchi_LVL2.prefab,Brotchi_Dash,1,1,60,59,60,Solo ended with unfinished relative-wait curve (59/60); pending tasks may continue only while transition waits.
25,635.6666666666667,640.6666666666666,Enemy_Slime.prefab,Slime,1,3,5,0,5,Solo skipped by occupied barrier; no requeue. Pair succeeded.
26,654.8666666666667,659.8666666666667,Enemy_Slime.prefab,Slime,1,3,5,5,5,
27,659.5666666666667,720.0,Enemy_Imp.prefab,Imp,1,2,18,57,68,
28,675.0833333333334,680.0833333333334,Enemy_Slime.prefab,Slime,1,3,10,10,10,
29,695.1,700.1,Enemy_Slime.prefab,Slime,1,3,10,10,10,
30,714.7166666666667,719.7166666666667,Enemy_Slime.prefab,Slime,1,3,10,10,10,
