Key,Id,Shared Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,English(en),English(en) Comments
"perk.2.name",1194319872,"","威力护符","","Charm of Power",""
"perk.2.description",1219485696,"","所有武器的伤害提高 {damagePercent:0.##}%。","","Increases all weapon damage by {damagePercent:0.##}%.",""
"perk.3.name",1223680000,"","攻击速度","","Attack Speed",""
"perk.3.description",1223680001,"","所有武器的攻速提高 {attackSpeedPercent:0.##}%。","","Increases all weapon attack speed by {attackSpeedPercent:0.##}%.",""
"perk.18.name",1223680002,"","暴击率","","Critical Chance",""
"perk.18.description",1223680003,"","所有武器的暴击率提高 {critChancePercent:0.##} 个百分点。","","Increases all weapon critical chances by {critChancePercent:0.##} percentage points.",""
"perk.17.name",1223680004,"","暴击伤害","","Critical Damage",""
"perk.17.description",1223680005,"","所有武器的暴击倍率增加 {critDamagePercent:0.##} 个百分点。","","Adds {critDamagePercent:0.##} percentage points to all weapon critical damage multipliers.",""
"perk.28.name",1223680006,"","弹幕天堂","","Bullet Heaven",""
"perk.28.description",1223680007,"","所有武器的射弹数量增加 {projectileCount:0}。","","Adds {projectileCount:0} projectiles to every weapon.",""
"perk.19.name",1223680008,"","时间护符","","Charm of Time",""
"perk.19.description",1223680009,"","所有武器的持续时间提高 {durationPercent:0.##}%。","","Increases all weapon durations by {durationPercent:0.##}%.",""
"perk.22.name",1223680010,"","攻击范围","","Attack Size",""
"perk.22.description",1223680011,"","所有武器的攻击范围提高 {sizePercent:0.##}%。","","Increases all weapon attack sizes by {sizePercent:0.##}%.",""
"equipment.17.name",1223680012,"","强化","","Reinforcement",""
"equipment.17.description",1223680013,"","暴击倍率增加 {critDamagePercent:0.##} 个百分点。","","Adds {critDamagePercent:0.##} percentage points to critical damage multiplier.",""
"equipment.16.name",1223680014,"","升势","","Escalation",""
"equipment.16.description",1223680015,"","暴击率提高 {critChancePercent:0.##} 个百分点。","","Increases critical chance by {critChancePercent:0.##} percentage points.",""
"equipment.2.name",1223680016,"","重振","","Reinvigoration",""
"equipment.2.description",1223680017,"","伤害提高 {damagePercent:0.##}%。","","Increases damage by {damagePercent:0.##}%.",""
"equipment.4.name",1223680018,"","延续","","Perpetuation",""
"equipment.4.description",1223680019,"","持续时间提高 {durationPercent:0.##}%。","","Increases duration by {durationPercent:0.##}%.",""
"equipment.304.name",1223680020,"","击退","","KNOCKBACK",""
"equipment.304.description",1223680021,"","击退效果提高 {knockbackPercent:0.##}%，攻速提高 {attackSpeedPercent:0.##}%。","","Increases knockback by {knockbackPercent:0.##}% and attack speed by {attackSpeedPercent:0.##}%.",""
"equipment.6.name",1223680022,"","增殖","","Proliferation",""
"equipment.6.description",1223680023,"","射弹数量增加 {projectileCount:0}。","","Adds {projectileCount:0} projectiles.",""
"equipment.1.name",1223680024,"","放大","","Magnification",""
"equipment.1.description",1223680025,"","攻击范围提高 {sizePercent:0.##}%。","","Increases attack size by {sizePercent:0.##}%.",""
"equipment.3.name",1223680026,"","迅捷处决","","Swift Execution",""
"equipment.3.description",1223680027,"","攻速提高 {attackSpeedPercent:0.##}%。","","Increases attack speed by {attackSpeedPercent:0.##}%.",""
"weapon.2.name",1223680028,"","鬼火","","Will-o'-the-Wisp",""
"weapon.2.description",1223680029,"","施放一颗穿透型火球。","","Casts a piercing fireball.",""
"weapon.3.name",1223680030,"","巨龙吐息","","Dragon's Breath",""
"weapon.3.description",1223680031,"","产生一团爆炸烈焰。","","Spawns a blazing burst of flames.",""
"weapon.6.name",1223680032,"","烈焰之舞","","Pyrrhic Dance",""
"weapon.6.description",1223680033,"","在自身周围生成两个飞旋的球体。","","Spawns two whirling spheres around you.",""
"weapon.8.name",1223680034,"","灼热余迹","","Blistering Wake",""
"weapon.8.description",1223680035,"","冲刺后留下一串炙热的火焰足迹。","","Leaves a scorching path of fire after your dash.",""
"weapon.1.name",1223680036,"","炽焰之笔","","Blazing Quill",""
"weapon.1.description",1223680037,"","释放一道灼热的近距离斩击。","","Releases a close-ranged searing slash.",""
"weapon.1.quote",1223680038,"","“这爱如火燃烧，从微光燃成烈焰。”","","“This love blazes like fire, from a small to a great flame.”",""
"ultimate.0.name",1223680039,"","但丁地狱","","Dante's Inferno",""
"ultimate.0.description",1223680040,"","释放烈焰攻击周围敌人。","","Unleashes flames against surrounding enemies.",""
"weapon.402.name",1223680041,"","召唤","","Summon",""
"weapon.402.description",1223680042,"","召唤伙伴协助攻击敌人。","","Summons a companion to attack enemies.",""
"character.1.name",1223680043,"","但丁","","Dante",""
"map.1.name",1223680044,"","遗迹边境","","Ruins Frontier",""
"map.1.description",1223680045,"","踏入战场，与同伴一起迎战不断涌来的怪物。","","Enter the battlefield and face the growing monster hordes with your companions.",""
