Key,Id,Shared Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,English(en),English(en) Comments
"选项",1320148992,"","选项","","Options",""
"常规",1362092032,"","常规","","General",""
"音频",1362092033,"","音频","","Audio",""
"画面",1362092034,"","画面","","Video",""
"语言",1366286336,"","语言","","Language",""
"简体中文",1366286337,"","简体中文","","简体中文",""
"English",1366286338,"","English","","English",""
"镜头震动",1366286339,"","镜头震动","","Screen shake",""
"关闭",1366286340,"","关闭","","Off",""
"开启",1366286341,"","开启","","On",""
"切换语言后，菜单立即更新。镜头震动仅影响本机画面。",1366286342,"","切换语言后，菜单立即更新。镜头震动仅影响本机画面。","","Language changes update menus immediately. Screen shake only affects your local view.",""
"总音量",1366286343,"","总音量","","Master volume",""
"音乐",1366286344,"","音乐","","Music",""
"音效",1366286345,"","音效","","Sound effects",""
"音效控制武器、受伤、环境和菜单声音。修改后立即生效。",1366286346,"","音效控制武器、受伤、环境和菜单声音。修改后立即生效。","","Controls weapon, damage, ambience and menu sounds. Changes apply immediately.",""
"音频正在初始化，已保存的音量会在就绪后应用。",1366286347,"","音频正在初始化，已保存的音量会在就绪后应用。","","Audio is loading. Your saved volumes will apply when it is ready.",""
"显示模式",1366286348,"","显示模式","","Display mode",""
"窗口",1366286349,"","窗口","","Windowed",""
"无边框全屏",1366286350,"","无边框全屏","","Borderless fullscreen",""
"独占全屏",1366286351,"","独占全屏","","Exclusive fullscreen",""
"分辨率",1366286352,"","分辨率","","Resolution",""
"垂直同步",1366286353,"","垂直同步","","VSync",""
"帧率上限",1366286354,"","帧率上限（FPS）","","Frame rate limit (FPS)",""
"不限制",1366286355,"","不限制","","Unlimited",""
"渲染比例",1366286356,"","渲染比例","","Render scale",""
"抗锯齿",1366286357,"","抗锯齿","","Anti-aliasing",""
"纹理质量",1366286358,"","纹理质量","","Texture quality",""
"原始",1366286359,"","原始","","Full resolution",""
"二分之一",1366286360,"","二分之一","","Half resolution",""
"四分之一",1366286361,"","四分之一","","Quarter resolution",""
"返回",1366286362,"","返回","","Back",""
"恢复此页默认值",1366286363,"","恢复此页默认值","","Reset this page",""
"应用",1366286364,"","应用","","Apply",""
"恢复原设置",1366286365,"","恢复原设置","","Revert",""
"保留设置",1366286366,"","保留设置","","Keep settings",""
"保留当前显示设置？
{0} 秒后恢复原设置。",1366286367,"","保留当前显示设置？
{0} 秒后恢复原设置。","","Keep these display settings?
Reverting in {0} seconds.",""
"垂直同步已开启，帧率由显示器刷新率控制。",1366286368,"","垂直同步已开启，帧率由显示器刷新率控制。","","VSync is on. The display refresh rate controls the frame rate.",""
"降低渲染比例可提升性能；纹理质量仅影响支持 mipmap 的纹理。",1366286369,"","降低渲染比例可提升性能；纹理质量仅影响支持 mipmap 的纹理。","","Lower render scale can improve performance. Texture quality affects mipmapped textures only.",""
