frame,deltaTime,actorX,cameraX,screenX,speed
0,0.016667,-11.621210,-12.927030,1044.036000,4.999975
1,0.016667,-11.537870,-12.852640,1044.611000,5.000027
2,0.016808,-11.453830,-12.777110,1045.159000,4.999975
3,0.016667,-11.370500,-12.701780,1045.674000,4.999975
4,0.016667,-11.287160,-12.626020,1046.162000,5.000027
5,0.016667,-11.203830,-12.549860,1046.623000,4.999993
6,0.016667,-11.120500,-12.473310,1047.060000,4.999975
7,0.016666,-11.037160,-12.396400,1047.473000,5.000002
8,0.016668,-10.953830,-12.319140,1047.864000,5.000018
9,0.016667,-10.870490,-12.241560,1048.235000,4.999998
10,0.016666,-10.787160,-12.163670,1048.585000,5.000007
11,0.016667,-10.703830,-12.085490,1048.917000,5.000000
12,0.016667,-10.620490,-12.007030,1049.230000,5.000021
13,0.016667,-10.537160,-11.928320,1049.527000,4.999973
14,0.016667,-10.453830,-11.849350,1049.809000,5.000027
15,0.016667,-10.370490,-11.770150,1050.075000,5.000021
16,0.016666,-10.287160,-11.690730,1050.327000,4.999977
17,0.016808,-10.203120,-11.610410,1050.566000,5.000006
18,0.016667,-10.119780,-11.530580,1050.792000,4.999998
19,0.016667,-10.036450,-11.450570,1051.005000,5.000025
20,0.016667,-9.953114,-11.370370,1051.207000,4.999998
21,0.016667,-9.869778,-11.290010,1051.398000,4.999993
22,0.016667,-9.786444,-11.209480,1051.579000,5.000027
23,0.016667,-9.703112,-11.128810,1051.750000,4.999973
24,0.016667,-9.619776,-11.048000,1051.913000,5.000023
25,0.016667,-9.536441,-10.967050,1052.066000,5.000025
26,0.016667,-9.453109,-10.885970,1052.211000,4.999975
27,0.016667,-9.369775,-10.804770,1052.349000,4.999998
28,0.016667,-9.286440,-10.723460,1052.479000,4.999996
29,0.016667,-9.203105,-10.642030,1052.602000,5.000025
30,0.016666,-9.119773,-10.560510,1052.718000,5.000004
31,0.016667,-9.036436,-10.478890,1052.829000,4.999989
32,0.016667,-8.953104,-10.397180,1052.933000,4.999975
33,0.016667,-8.869769,-10.315380,1053.032000,4.999996
34,0.016667,-8.786437,-10.233500,1053.125000,4.999973
35,0.016667,-8.703104,-10.151540,1053.214000,4.999972
36,0.016667,-8.619769,-10.069510,1053.297000,4.999996
37,0.016667,-8.536435,-9.987405,1053.377000,5.000027
38,0.016667,-8.453103,-9.905238,1053.452000,4.999973
39,0.016996,-8.368125,-9.821355,1053.522000,4.999977
40,0.016667,-8.284788,-9.739063,1053.589000,5.000021
41,0.016666,-8.201457,-9.656720,1053.653000,4.999977
42,0.016667,-8.118121,-9.574320,1053.713000,4.999991
43,0.016667,-8.034786,-9.491871,1053.770000,5.000025
44,0.016667,-7.951453,-9.409376,1053.824000,5.000002
45,0.016667,-7.868118,-9.326835,1053.875000,4.999996
46,0.016896,-7.783640,-9.243097,1053.923000,4.999994
47,0.016667,-7.700307,-9.160475,1053.969000,5.000000
48,0.016667,-7.616975,-9.077815,1054.012000,5.000003
49,0.016667,-7.533641,-8.995118,1054.053000,4.999998
50,0.016667,-7.450305,-8.912385,1054.092000,4.999993
51,0.016795,-7.366332,-8.828975,1054.128000,4.999993
52,0.016667,-7.282997,-8.746181,1054.163000,4.999999
53,0.016666,-7.199666,-8.663361,1054.196000,5.000003
54,0.016668,-7.116324,-8.580503,1054.227000,5.000007
55,0.017134,-7.030653,-8.495262,1054.254000,4.999999
56,0.016664,-6.947336,-8.412379,1054.282000,5.000013
57,0.016864,-6.863018,-8.328461,1054.308000,5.000010
58,0.016667,-6.779682,-8.245516,1054.333000,4.999994
59,0.016666,-6.696351,-8.162555,1054.357000,5.000007
