frame,deltaTime,actorX,cameraX,screenX,speed
0,0.016666,-2.612416,-3.919057,1044.088000,5.000004
1,0.016666,-2.529085,-3.844621,1044.661000,4.999993
2,0.016668,-2.445746,-3.769701,1045.203000,5.000000
3,0.016667,-2.362413,-3.694336,1045.715000,5.000000
4,0.016666,-2.279082,-3.618546,1046.201000,5.000005
5,0.016667,-2.195745,-3.542347,1046.660000,5.000007
6,0.016667,-2.112412,-3.465768,1047.095000,4.999999
7,0.016667,-2.029078,-3.388827,1047.506000,4.999998
8,0.016667,-1.945745,-3.311544,1047.896000,4.999999
9,0.016821,-1.861641,-3.233205,1048.267000,4.999998
10,0.016667,-1.778306,-3.155288,1048.615000,5.000003
11,0.016667,-1.694973,-3.077084,1048.945000,5.000003
12,0.017049,-1.609730,-2.996768,1049.262000,4.999998
13,0.016789,-1.525786,-2.917434,1049.559000,4.999998
14,0.016667,-1.442453,-2.838444,1049.839000,5.000000
15,0.016667,-1.359119,-2.759219,1050.103000,4.999998
16,0.016667,-1.275785,-2.679775,1050.353000,5.000000
17,0.016667,-1.192452,-2.600123,1050.590000,4.999999
18,0.016667,-1.109117,-2.520273,1050.814000,5.000004
19,0.016667,-1.025784,-2.440237,1051.027000,4.999999
20,0.016667,-0.942450,-2.360024,1051.228000,5.000001
21,0.016667,-0.859116,-2.279644,1051.418000,5.000000
22,0.016667,-0.775783,-2.199107,1051.598000,5.000001
23,0.016667,-0.692449,-2.118419,1051.768000,5.000001
24,0.016667,-0.609114,-2.037588,1051.929000,5.000001
25,0.016845,-0.524889,-1.955742,1052.082000,5.000001
26,0.016667,-0.441555,-1.874651,1052.226000,5.000000
27,0.016667,-0.358221,-1.793440,1052.363000,5.000000
28,0.016666,-0.274889,-1.712117,1052.492000,5.000001
29,0.016667,-0.191553,-1.630683,1052.615000,5.000000
30,0.016732,-0.107894,-1.548825,1052.731000,5.000000
31,0.016667,-0.024560,-1.467194,1052.840000,5.000000
32,0.016667,0.058773,-1.385473,1052.944000,5.000000
33,0.016667,0.142109,-1.303662,1053.042000,5.000000
34,0.016667,0.225443,-1.221771,1053.135000,5.000000
35,0.016666,0.308775,-1.139807,1053.223000,5.000001
36,0.017003,0.393788,-1.056083,1053.306000,5.000000
37,0.016672,0.477150,-0.973945,1053.385000,5.000001
38,0.016667,0.560484,-0.891769,1053.459000,5.000000
39,0.016667,0.643818,-0.809532,1053.530000,5.000001
40,0.016666,0.727150,-0.727238,1053.597000,4.999999
41,0.016667,0.810485,-0.644885,1053.660000,5.000001
42,0.016666,0.893817,-0.562484,1053.720000,4.999998
43,0.016667,0.977151,-0.480030,1053.776000,5.000000
44,0.016667,1.060486,-0.397528,1053.830000,5.000000
45,0.016667,1.143820,-0.314982,1053.881000,4.999997
46,0.016667,1.227156,-0.232392,1053.929000,5.000000
47,0.016667,1.310489,-0.149765,1053.974000,5.000000
48,0.016740,1.394190,-0.066729,1054.017000,5.000002
49,0.016667,1.477523,0.015972,1054.058000,5.000001
50,0.016667,1.560857,0.098707,1054.096000,4.999998
51,0.016667,1.644190,0.181473,1054.133000,5.000001
52,0.016667,1.727526,0.264273,1054.167000,4.999999
53,0.016666,1.810857,0.347096,1054.200000,5.000000
54,0.016667,1.894194,0.429952,1054.231000,4.999997
55,0.016667,1.977527,0.512831,1054.260000,5.000001
56,0.016667,2.060861,0.595734,1054.288000,5.000006
57,0.016667,2.144198,0.678664,1054.314000,5.000003
58,0.016666,2.227528,0.761609,1054.339000,4.999994
59,0.016667,2.310864,0.844580,1054.362000,4.999993
