frame,deltaTime,actorX,cameraX,screenX,speed
0,0.016667,-2.600003,-3.892261,2086.326000,5.999946
1,0.016668,-2.500003,-3.817697,2089.600000,5.999696
2,0.016667,-2.400003,-3.741772,2092.698000,5.999803
3,0.016707,-2.300004,-3.664381,2095.608000,5.985580
4,0.016671,-2.200004,-3.585938,2098.383000,5.998433
5,0.016666,-2.200004,-3.511718,2088.830000,0.000000
6,0.016667,-2.100004,-3.436116,2091.970000,6.000056
7,0.016666,-2.000004,-3.359208,2094.942000,6.000089
8,0.016667,-1.900004,-3.281061,2097.755000,5.999949
9,0.016667,-1.800004,-3.201744,2100.417000,5.999910
10,0.016666,-1.700004,-3.121321,2102.937000,6.000089
11,0.016667,-1.700004,-3.045203,2093.140000,0.000000
12,0.016667,-1.600004,-2.967806,2096.049000,5.999910
13,0.016667,-1.500004,-2.889199,2098.802000,5.999910
14,0.016667,-1.400004,-2.809446,2101.408000,5.999949
15,0.016667,-1.300004,-2.728610,2103.875000,6.000018
16,0.016667,-1.200005,-2.646747,2106.209000,5.999981
17,0.016667,-1.200005,-2.569268,2096.237000,0.000000
18,0.016667,-1.100005,-2.490584,2098.980000,6.000053
19,0.016667,-1.000005,-2.410757,2101.577000,5.999981
20,0.016667,-0.900005,-2.329850,2104.034000,5.999988
21,0.016667,-0.800005,-2.247920,2106.360000,5.999914
22,0.016667,-0.700005,-2.165023,2108.562000,5.999985
23,0.016667,-0.700005,-2.086564,2098.463000,0.000000
24,0.016667,-0.600005,-2.006951,2101.087000,5.999842
25,0.016677,-0.500005,-1.926200,2103.565000,5.996281
26,0.016657,-0.400005,-1.844512,2105.922000,6.003515
27,0.016667,-0.300005,-1.761797,2108.146000,5.999949
28,0.016667,-0.200005,-1.678157,2110.252000,5.999949
29,0.016667,-0.200005,-1.598996,2100.063000,0.000000
30,0.016667,-0.100005,-1.518720,2102.602000,6.000057
31,0.016667,-0.000005,-1.437387,2105.004000,5.999949
32,0.016667,0.099995,-1.355053,2107.278000,5.999914
33,0.016667,0.199995,-1.271773,2109.430000,5.999952
34,0.016667,0.299995,-1.187600,2111.468000,6.000057
35,0.016668,0.299995,-1.107930,2101.213000,0.000000
36,0.016667,0.399995,-1.027175,2103.690000,6.000057
37,0.016667,0.499995,-0.945389,2106.034000,5.999949
38,0.016667,0.599995,-0.862627,2108.253000,5.999949
39,0.016667,0.699995,-0.778943,2110.353000,6.000059
40,0.016667,0.799995,-0.694383,2112.340000,5.999842
41,0.016667,0.799995,-0.614354,2102.040000,0.000000
42,0.016679,0.899995,-0.533196,2104.465000,5.995527
43,0.016654,0.999995,-0.451146,2106.775000,6.004417
44,0.016667,1.099994,-0.368076,2108.954000,5.999910
45,0.016667,1.199994,-0.284099,2111.017000,5.999910
46,0.016667,1.299994,-0.199263,2112.969000,5.999910
47,0.016667,1.299994,-0.118972,2102.634000,0.000000
48,0.016676,1.399994,-0.037584,2105.030000,5.996817
49,0.016658,1.499994,0.044717,2107.308000,6.003188
50,0.016963,1.599994,0.129435,2109.275000,5.895143
51,0.016667,1.699994,0.213546,2111.320000,5.999910
52,0.016667,1.799994,0.298507,2113.255000,5.999910
53,0.016667,1.799994,0.378917,2102.906000,0.000000
54,0.016667,1.899994,0.460378,2105.292000,5.999875
55,0.016667,1.999994,0.542832,2107.550000,5.999838
56,0.016667,2.099993,0.626224,2109.688000,6.000053
57,0.016667,2.199993,0.710507,2111.711000,5.999875
58,0.016667,2.299993,0.795629,2113.626000,6.000056
59,0.016667,2.299993,0.876195,2103.256000,0.000000
